datetime,substation,feeder,FVHI,FVHD,FVLI,FVLD,FVSM,FCHI,FCHD,FCLI,FCLD,FCSM
2024-01-06 16:00,Sub1,F1,322,164,108,30,45,228,159,83,76,9
2024-01-06 17:00,Sub1,F1,310,162,107,78,50,302,86,112,87,9
2024-01-06 18:00,Sub1,F1,332,152,100,20,26,256,172,85,62,34
2024-01-06 19:00,Sub1,F1,303,142,92,63,17,283,70,127,17,21
2024-01-06 20:00,Sub1,F1,296,170,109,40,51,327,75,73,45,46
2024-01-06 21:00,Sub1,F1,322,154,101,88,30,323,76,48,39,42
2024-01-06 22:00,Sub1,F1,309,170,112,81,23,333,85,129,76,19
2024-01-06 23:00,Sub1,F1,330,133,87,26,46,315,93,66,31,29
2024-01-07 00:00,Sub1,F1,321,162,107,45,38,323,128,122,34,6
2024-01-07 01:00,Sub1,F1,341,165,110,38,15,315,73,110,88,44
2024-01-07 02:00,Sub1,F1,313,157,103,41,15,207,170,58,81,34
2024-01-07 03:00,Sub1,F1,333,171,114,54,21,314,116,134,73,38
2024-01-07 04:00,Sub1,F1,314,176,115,78,21,227,168,103,67,9
2024-01-07 05:00,Sub1,F1,285,161,105,48,58,213,85,96,59,44
2024-01-07 06:00,Sub1,F1,315,170,113,69,36,200,147,70,75,26
2024-01-07 07:00,Sub1,F1,320,144,95,33,11,275,124,65,87,37
2024-01-07 08:00,Sub1,F1,326,175,117,93,55,298,73,55,64,14
2024-01-07 09:00,Sub1,F1,319,156,102,82,37,226,89,82,79,16
2024-01-07 10:00,Sub1,F1,340,166,111,93,22,281,100,47,56,21
2024-01-07 11:00,Sub1,F1,330,158,104,45,59,347,171,61,37,11
2024-01-07 12:00,Sub1,F1,312,155,102,40,46,258,111,69,48,19
2024-01-07 13:00,Sub1,F1,332,166,112,41,57,243,111,120,43,14
2024-01-07 14:00,Sub1,F1,303,155,101,93,21,315,72,41,17,11
2024-01-07 15:00,Sub1,F1,330,168,112,22,34,290,115,44,67,30
2024-01-07 16:00,Sub1,F1,321,191,127,47,47,261,176,129,64,48
2024-01-07 17:00,Sub1,F1,319,162,107,81,11,339,114,41,78,9
2024-01-07 18:00,Sub1,F1,321,166,110,46,49,282,121,125,54,40
2024-01-07 19:00,Sub1,F1,301,179,116,25,22,349,108,114,22,11
2024-01-07 20:00,Sub1,F1,317,170,114,35,45,327,150,96,82,38
2024-01-07 21:00,Sub1,F1,326,159,105,38,42,278,136,129,56,5
2024-01-07 22:00,Sub1,F1,331,134,88,62,40,267,154,60,52,25
2024-01-07 23:00,Sub1,F1,327,157,105,63,56,313,129,134,15,20
2024-01-08 00:00,Sub1,F1,301,159,103,51,35,266,139,94,50,45
2024-01-08 01:00,Sub1,F1,299,158,103,43,22,204,144,73,21,21
2024-01-08 02:00,Sub1,F1,303,167,108,57,32,280,171,132,41,37
2024-01-08 03:00,Sub1,F1,316,190,126,21,33,295,72,135,52,36
2024-01-08 04:00,Sub1,F1,307,169,110,71,45,316,147,70,77,11
2024-01-08 05:00,Sub1,F1,320,161,105,56,27,286,153,79,52,49
2024-01-08 06:00,Sub1,F1,339,131,84,59,34,257,91,116,64,25
2024-01-08 07:00,Sub1,F1,300,157,101,27,46,271,137,62,25,48
2024-01-08 08:00,Sub1,F1,316,167,110,97,20,299,160,54,81,41
2024-01-08 09:00,Sub1,F1,299,172,125,83,32,235,147,127,48,31
2024-01-08 10:00,Sub1,F1,329,148,97,50,48,253,98,109,78,39
2024-01-08 11:00,Sub1,F1,325,157,103,77,22,327,92,79,21,9
2024-01-08 12:00,Sub1,F1,329,166,110,57,11,247,109,135,33,26
2024-01-08 13:00,Sub1,F1,335,153,101,65,37,226,120,122,55,27
2024-01-08 14:00,Sub1,F1,323,147,97,78,55,296,149,49,73,28
2024-01-08 15:00,Sub1,F1,315,147,95,80,54,220,122,50,63,23
2024-01-08 16:00,Sub1,F1,295,168,107,36,30,346,83,120,64,15
2024-01-08 17:00,Sub1,F1,344,141,93,35,35,241,95,113,37,43
2024-01-08 18:00,Sub1,F1,310,166,108,35,53,250,101,97,87,7
2024-01-08 19:00,Sub1,F1,334,157,120,54,35,254,81,55,84,30
2024-01-08 20:00,Sub1,F1,350,169,114,47,26,278,108,96,29,14
2024-01-08 21:00,Sub1,F1,312,161,106,99,18,276,147,129,49,20
2024-01-08 22:00,Sub1,F1,294,167,110,53,34,296,124,55,52,31
2024-01-08 23:00,Sub1,F1,329,164,110,81,53,209,142,46,65,19
2024-01-09 00:00,Sub1,F1,303,167,108,87,37,221,130,93,57,47
2024-01-09 01:00,Sub1,F1,330,154,102,22,53,273,90,99,28,43
2024-01-09 02:00,Sub1,F1,313,163,106,53,10,213,87,133,63,10
2024-01-09 03:00,Sub1,F1,327,150,98,83,48,223,165,96,83,18
2024-01-09 04:00,Sub1,F1,327,141,95,46,24,225,111,96,23,7
2024-01-09 05:00,Sub1,F1,314,151,113,98,35,288,126,102,30,6
2024-01-09 06:00,Sub1,F1,310,162,108,23,47,303,178,119,64,12
2024-01-09 07:00,Sub1,F1,317,157,103,72,46,278,167,132,41,7
2024-01-09 08:00,Sub1,F1,318,181,119,39,37,282,75,87,60,25
2024-01-09 09:00,Sub1,F1,345,167,113,41,28,204,103,95,78,20
2024-01-09 10:00,Sub1,F1,327,143,94,40,56,271,117,125,61,23
2024-01-09 11:00,Sub1,F1,314,146,95,69,47,324,99,93,81,30
2024-01-09 12:00,Sub1,F1,324,168,112,46,56,230,123,69,48,10
2024-01-09 13:00,Sub1,F1,334,156,104,27,38,319,118,63,36,48
2024-01-09 14:00,Sub1,F1,324,163,108,31,33,285,134,105,37,5
2024-01-09 15:00,Sub1,F1,299,166,107,69,31,218,109,49,16,13
2024-01-09 16:00,Sub1,F1,318,169,111,31,26,244,105,134,88,32
2024-01-09 17:00,Sub1,F1,319,145,95,69,30,250,71,114,67,33
2024-01-09 18:00,Sub1,F1,321,156,103,64,49,227,170,76,19,5
2024-01-09 19:00,Sub1,F1,305,166,106,40,52,214,105,40,45,9
2024-01-09 20:00,Sub1,F1,333,144,96,38,27,203,99,43,22,19
2024-01-09 21:00,Sub1,F1,331,169,113,41,41,209,149,54,86,32
2024-01-09 22:00,Sub1,F1,310,177,118,85,32,227,168,108,44,33
2024-01-09 23:00,Sub1,F1,313,142,91,35,32,335,101,124,53,46
2024-01-10 00:00,Sub1,F1,312,158,102,54,25,313,114,53,73,41
2024-01-10 01:00,Sub1,F1,305,139,89,73,58,301,133,69,68,21
2024-01-10 02:00,Sub1,F1,333,159,105,69,17,290,112,74,87,23
2024-01-10 03:00,Sub1,F1,328,174,117,74,41,327,110,62,41,26
2024-01-10 04:00,Sub1,F1,309,155,100,47,52,336,88,109,59,24
2024-01-10 05:00,Sub1,F1,310,155,101,60,50,289,138,54,59,43
2024-01-10 06:00,Sub1,F1,339,154,102,95,14,344,126,73,18,25
2024-01-10 07:00,Sub1,F1,325,153,100,98,13,271,125,96,58,35
2024-01-10 08:00,Sub1,F1,341,181,122,77,18,200,94,104,23,47
2024-01-10 09:00,Sub1,F1,312,167,110,84,16,218,137,67,88,8
2024-01-10 10:00,Sub1,F1,316,152,98,73,18,240,92,119,19,8
2024-01-10 11:00,Sub1,F1,307,151,98,45,48,236,139,115,32,24
2024-01-10 12:00,Sub1,F1,310,164,107,31,11,335,83,124,61,27
2024-01-10 13:00,Sub1,F1,336,175,117,27,26,313,141,85,89,21
2024-01-10 14:00,Sub1,F1,328,182,122,78,52,244,79,139,76,41
2024-01-10 15:00,Sub1,F1,313,172,113,71,46,303,177,112,28,24
2024-01-10 16:00,Sub1,F1,330,167,112,57,43,293,104,96,25,30
2024-01-10 17:00,Sub1,F1,335,154,103,71,32,342,84,111,64,35
2024-01-10 18:00,Sub1,F1,316,163,108,93,40,294,74,128,55,38
2024-01-10 19:00,Sub1,F1,306,166,108,90,29,303,168,131,18,12
2024-01-10 20:00,Sub1,F1,321,162,105,63,56,292,77,109,34,42
2024-01-10 21:00,Sub1,F1,329,178,119,99,12,311,173,138,80,14
2024-01-10 22:00,Sub1,F1,322,179,118,87,30,280,112,86,80,28
2024-01-10 23:00,Sub1,F1,322,163,108,72,54,249,168,127,47,34
2024-01-11 00:00,Sub1,F1,334,149,99,92,13,236,137,105,25,22
2024-01-11 01:00,Sub1,F1,308,155,101,73,30,348,177,107,36,41
2024-01-11 02:00,Sub1,F1,310,165,109,58,28,256,101,76,62,33
2024-01-11 03:00,Sub1,F1,317,142,92,23,54,237,164,120,61,44
2024-01-11 04:00,Sub1,F1,297,136,88,44,57,349,73,75,68,14
2024-01-11 05:00,Sub1,F1,311,174,115,54,48,288,176,91,73,31
2024-01-11 06:00,Sub1,F1,328,160,108,72,37,264,158,70,18,29
2024-01-11 07:00,Sub1,F1,302,171,111,89,59,304,171,68,41,6
2024-01-11 08:00,Sub1,F1,300,177,115,37,28,202,107,115,16,39
2024-01-11 09:00,Sub1,F1,335,164,109,71,26,210,148,109,39,34
2024-01-11 10:00,Sub1,F1,327,166,111,69,24,267,141,122,33,34
2024-01-11 11:00,Sub1,F1,338,175,118,90,56,276,90,70,63,34
2024-01-11 12:00,Sub1,F1,308,182,119,37,28,234,126,133,43,26
2024-01-11 13:00,Sub1,F1,297,143,92,44,46,224,156,75,71,32
2024-01-11 14:00,Sub1,F1,312,139,90,84,24,250,159,47,56,21
2024-01-11 15:00,Sub1,F1,282,173,109,41,38,322,85,94,60,32
2024-01-11 16:00,Sub1,F1,304,160,104,94,19,253,154,54,44,32
2024-01-11 17:00,Sub1,F1,301,167,125,98,17,283,96,67,54,28
2024-01-11 18:00,Sub1,F1,305,161,105,23,19,218,109,95,31,12
2024-01-11 19:00,Sub1,F1,317,150,98,88,22,280,127,93,28,43
2024-01-11 20:00,Sub1,F1,333,168,112,54,11,289,100,109,88,15
2024-01-11 21:00,Sub1,F1,312,177,143,71,19,200,91,46,84,11
2024-01-11 22:00,Sub1,F1,319,154,101,81,19,210,122,122,15,35
2024-01-11 23:00,Sub1,F1,324,154,103,53,11,274,152,77,60,35
2024-01-12 00:00,Sub1,F1,338,163,111,38,45,243,127,42,76,17
2024-01-12 01:00,Sub1,F1,308,157,102,53,18,337,72,64,44,12
2024-01-12 02:00,Sub1,F1,308,155,101,51,44,232,73,100,28,44
2024-01-12 03:00,Sub1,F1,324,149,98,98,28,241,138,102,87,20
2024-01-12 04:00,Sub1,F1,318,185,124,64,51,241,141,59,68,37
2024-01-12 05:00,Sub1,F1,325,148,98,87,15,304,85,52,22,20
2024-01-12 06:00,Sub1,F1,314,142,93,95,48,347,158,83,60,8
2024-01-12 07:00,Sub1,F1,328,140,91,50,50,290,75,102,86,29
2024-01-12 08:00,Sub1,F1,321,173,116,86,22,240,148,58,44,21
2024-01-12 09:00,Sub1,F1,311,142,92,63,32,260,110,85,61,26
2024-01-12 10:00,Sub1,F1,340,177,118,45,38,321,136,59,21,28
2024-01-12 11:00,Sub1,F1,324,165,109,66,56,270,119,139,62,19
2024-01-12 12:00,Sub1,F1,326,157,104,76,20,277,144,131,33,45
2024-01-12 13:00,Sub1,F1,276,148,94,33,25,323,104,50,28,39
2024-01-12 14:00,Sub1,F1,299,174,112,38,26,216,129,63,29,18
2024-01-12 15:00,Sub1,F1,323,143,94,49,15,328,88,94,20,5
2024-01-12 16:00,Sub1,F1,319,146,97,22,39,331,106,64,60,33
2024-01-12 17:00,Sub1,F1,311,168,109,62,13,276,104,98,79,16
2024-01-12 18:00,Sub1,F1,313,157,102,81,34,289,91,134,88,19
2024-01-12 19:00,Sub1,F1,349,165,113,83,39,334,174,90,29,10
2024-01-12 20:00,Sub1,F1,314,159,104,73,55,332,165,126,18,20
2024-01-12 21:00,Sub1,F1,318,159,104,24,24,236,97,51,87,25
2024-01-12 22:00,Sub1,F1,319,138,91,98,48,217,176,130,32,38
2024-01-12 23:00,Sub1,F1,323,137,92,39,19,252,161,135,87,16
2024-01-13 00:00,Sub1,F1,334,149,99,92,51,267,94,85,78,39
2024-01-13 01:00,Sub1,F1,303,164,106,92,30,213,147,126,48,18
2024-01-13 02:00,Sub1,F1,315,163,108,38,44,219,89,61,37,30
2024-01-13 03:00,Sub1,F1,325,161,108,68,15,312,112,131,26,22
2024-01-13 04:00,Sub1,F1,321,173,115,78,48,297,98,77,44,22
2024-01-13 05:00,Sub1,F1,336,149,100,72,38,221,179,52,84,8
2024-01-13 06:00,Sub1,F1,323,152,100,74,27,321,123,44,42,20
2024-01-13 07:00,Sub1,F1,323,165,110,24,17,212,77,126,88,34
2024-01-13 08:00,Sub1,F1,315,172,114,91,41,317,99,116,64,22
2024-01-13 09:00,Sub1,F1,300,169,110,63,59,226,164,116,66,48
2024-01-13 10:00,Sub1,F1,316,162,106,70,24,249,142,112,74,24
2024-01-13 11:00,Sub1,F1,318,146,94,37,22,274,80,66,24,45
2024-01-13 12:00,Sub1,F1,303,136,88,41,10,307,95,113,30,22
2024-01-13 13:00,Sub1,F1,299,163,105,87,10,246,150,52,43,45
2024-01-13 14:00,Sub1,F1,308,187,123,96,12,212,159,113,82,27
2024-01-13 15:00,Sub1,F1,313,156,102,43,46,206,126,133,38,6
2024-01-13 16:00,Sub1,F1,298,142,92,38,22,202,116,81,65,47
2024-01-13 17:00,Sub1,F1,354,169,115,85,49,279,163,44,27,43
2024-01-13 18:00,Sub1,F1,329,164,109,39,38,261,93,127,27,45
2024-01-13 19:00,Sub1,F1,317,159,105,76,12,295,89,122,62,35
2024-01-13 20:00,Sub1,F1,293,160,102,90,33,265,118,98,87,34
2024-01-13 21:00,Sub1,F1,302,139,90,50,50,294,112,44,17,24
2024-01-13 22:00,Sub1,F1,304,172,111,87,45,211,130,53,31,32
2024-01-13 23:00,Sub1,F1,315,150,98,58,58,247,174,71,50,42
2024-01-14 00:00,Sub1,F1,309,165,106,67,31,285,150,82,53,43
2024-01-14 01:00,Sub1,F1,325,177,117,58,25,235,117,109,32,8
2024-01-14 02:00,Sub1,F1,320,156,103,70,45,331,72,76,33,29
2024-01-14 03:00,Sub1,F1,326,158,105,97,50,289,70,57,74,17
2024-01-14 04:00,Sub1,F1,297,181,116,91,22,224,98,86,54,8
2024-01-14 05:00,Sub1,F1,308,170,111,84,16,239,84,62,65,12
2024-01-14 06:00,Sub1,F1,308,164,106,45,51,343,90,116,38,18
2024-01-14 07:00,Sub1,F1,350,167,112,48,54,219,134,139,34,44
2024-01-14 08:00,Sub1,F1,315,160,105,55,21,200,73,102,54,33
2024-01-14 09:00,Sub1,F1,316,143,94,78,53,331,106,69,43,15
2024-01-14 10:00,Sub1,F1,317,190,125,77,52,300,116,64,79,42
2024-01-14 11:00,Sub1,F1,342,172,117,60,53,310,78,96,69,41
2024-01-14 12:00,Sub1,F1,327,180,119,86,27,308,79,77,26,8
2024-01-14 13:00,Sub1,F1,315,148,96,65,35,242,148,98,46,47
2024-01-14 14:00,Sub1,F1,319,152,100,32,49,323,151,45,77,19
2024-01-14 15:00,Sub1,F1,295,166,109,88,29,315,169,98,23,21
2024-01-14 16:00,Sub1,F1,336,147,99,50,36,279,106,67,70,36
2024-01-14 17:00,Sub1,F1,324,162,107,71,42,337,156,79,37,45
2024-01-14 18:00,Sub1,F1,326,150,99,40,28,234,101,135,32,38
2024-01-14 19:00,Sub1,F1,297,179,116,92,16,334,86,43,69,23
2024-01-14 20:00,Sub1,F1,334,168,111,53,52,271,149,70,26,7
2024-01-14 21:00,Sub1,F1,313,162,107,25,32,315,77,43,25,27
2024-01-14 22:00,Sub1,F1,352,165,112,79,14,301,96,94,20,9
2024-01-14 23:00,Sub1,F1,314,167,110,28,52,267,112,81,86,20
2024-01-15 00:00,Sub1,F1,307,146,93,69,35,246,125,46,47,35
2024-01-15 01:00,Sub1,F1,326,186,122,52,48,306,144,110,60,11
2024-01-15 02:00,Sub1,F1,318,171,112,88,47,269,177,121,59,33
2024-01-15 03:00,Sub1,F1,317,167,111,80,20,249,175,118,18,34
2024-01-15 04:00,Sub1,F1,316,152,100,67,39,275,89,117,30,28
2024-01-15 05:00,Sub1,F1,305,162,105,53,11,212,174,62,33,12
2024-01-15 06:00,Sub1,F1,318,170,113,42,37,291,82,42,70,16
2024-01-15 07:00,Sub1,F1,326,132,87,58,24,330,94,133,88,20
2024-01-15 08:00,Sub1,F1,309,159,104,38,34,241,149,133,67,20
2024-01-15 09:00,Sub1,F1,326,140,92,48,15,333,118,95,15,17
2024-01-15 10:00,Sub1,F1,304,159,102,51,10,347,130,54,78,22
2024-01-15 11:00,Sub1,F1,327,150,99,55,26,272,70,77,59,23
2024-01-15 12:00,Sub1,F1,315,178,117,50,13,263,175,81,76,5
2024-01-15 13:00,Sub1,F1,313,155,101,43,28,300,106,118,89,9
2024-01-15 14:00,Sub1,F1,309,158,102,64,13,245,152,134,27,6
2024-01-15 15:00,Sub1,F1,321,143,95,96,34,324,124,106,25,23
2024-01-15 16:00,Sub1,F1,280,172,108,64,59,247,179,133,61,20
2024-01-15 17:00,Sub1,F1,315,175,115,33,53,244,100,92,64,9
2024-01-15 18:00,Sub1,F1,310,131,85,49,36,308,87,59,57,46
